Experimento,Accuracy,F1_Macro,Std_Accuracy,N_Folds
42_jaffe_loso,0.28630340673818927,0.2565440115440116,0.04682098711207094,10
42_ck+_loso,0.5938323917137477,0.507725654759553,0.3229291095942643,118
42_jaffe→ck+_cross,0.05504587155963303,0.014906832298136646,0.0,0
42_ck+→jaffe_cross,0.13615023474178403,0.03423848878394333,0.0,0
50_jaffe_loso,0.28630340673818927,0.2565440115440116,0.04682098711207094,10
50_ck+_loso,0.5938323917137477,0.507725654759553,0.3229291095942643,118
50_jaffe→ck+_cross,0.05504587155963303,0.014906832298136646,0.0,0
50_ck+→jaffe_cross,0.13615023474178403,0.03423848878394333,0.0,0
42_unified_loso,1.0,1.0,0.0,0
50_unified_loso,1.0,1.0,0.0,0
